# ----------------------------------------
# 1 Master View
# Audience Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Users
1/1/18,"1,800"
1/2/18,"2,874"
1/3/18,"2,742"
1/4/18,"2,747"
1/5/18,"2,535"
1/6/18,"1,865"
1/7/18,"2,020"
1/8/18,"2,735"
1/9/18,"3,104"
1/10/18,"3,057"
1/11/18,"2,812"
1/12/18,"2,668"
1/13/18,"2,058"
1/14/18,"2,122"
1/15/18,"2,946"
1/16/18,"3,133"
1/17/18,"2,983"
1/18/18,"2,717"
1/19/18,"2,664"
1/20/18,"1,948"
1/21/18,"1,996"
1/22/18,"2,870"
1/23/18,"2,806"
1/24/18,"2,791"
1/25/18,"3,232"
1/26/18,"2,565"
1/27/18,"2,002"
1/28/18,"2,141"
1/29/18,"2,923"
1/30/18,"2,946"
1/31/18,"2,840"
2/1/18,"2,893"
2/2/18,"2,552"
2/3/18,"1,970"
2/4/18,"2,090"
2/5/18,"2,913"
2/6/18,"2,865"
2/7/18,"2,876"
2/8/18,"2,790"
2/9/18,"2,778"
2/10/18,"2,387"
2/11/18,"2,607"
2/12/18,"3,395"
2/13/18,"3,293"
2/14/18,"3,075"
2/15/18,"2,923"
2/16/18,"2,620"
2/17/18,"2,267"
2/18/18,"2,471"
2/19/18,"2,755"
2/20/18,"3,395"
2/21/18,"3,244"
2/22/18,"3,422"
2/23/18,"2,901"
2/24/18,"2,143"
2/25/18,"2,326"
2/26/18,"3,846"
2/27/18,"3,302"
2/28/18,"3,008"
3/1/18,"2,961"
3/2/18,"2,768"
3/3/18,"2,242"
3/4/18,"2,286"
3/5/18,"3,092"
3/6/18,"3,591"
3/7/18,"3,011"
3/8/18,"2,918"
3/9/18,"2,735"
3/10/18,"2,154"
3/11/18,"2,119"
3/12/18,"3,403"
3/13/18,"3,278"
3/14/18,"3,216"
3/15/18,"3,624"
3/16/18,"3,042"
3/17/18,"2,174"
3/18/18,"2,244"
3/19/18,"3,520"
3/20/18,"3,171"
3/21/18,"4,349"
3/22/18,"3,555"
3/23/18,"2,968"
3/24/18,"2,202"
3/25/18,"2,157"
3/26/18,"3,223"
3/27/18,"4,231"
3/28/18,"3,731"
3/29/18,"3,473"
3/30/18,"2,728"
3/31/18,"1,868"
4/1/18,"2,094"
4/2/18,"3,196"
4/3/18,"3,348"
4/4/18,"3,241"
4/5/18,"2,922"
4/6/18,"2,648"
4/7/18,"2,018"
4/8/18,"2,321"
4/9/18,"3,101"
4/10/18,"3,183"
4/11/18,"3,059"
4/12/18,"3,105"
4/13/18,"2,668"
4/14/18,"1,837"
4/15/18,"2,058"
4/16/18,"3,082"
4/17/18,"3,115"
4/18/18,"3,089"
4/19/18,"3,016"
4/20/18,"2,551"
4/21/18,"1,856"
4/22/18,"2,059"
4/23/18,"3,100"
4/24/18,"3,061"
4/25/18,"3,025"
4/26/18,"3,061"
4/27/18,"2,589"
4/28/18,"1,911"
4/29/18,"1,924"
4/30/18,"2,736"
5/1/18,"2,837"
5/2/18,"3,042"
5/3/18,"3,106"
5/4/18,"2,773"
5/5/18,"1,881"
5/6/18,"1,983"
5/7/18,"2,991"
5/8/18,"3,667"
5/9/18,"3,399"
5/10/18,"3,694"
5/11/18,"2,783"
5/12/18,"2,067"
5/13/18,"1,985"
5/14/18,"3,065"
5/15/18,"2,987"
5/16/18,"2,930"
5/17/18,"3,138"
5/18/18,"2,819"
5/19/18,"1,821"
5/20/18,"1,864"
5/21/18,"2,914"
5/22/18,"3,342"
5/23/18,"3,160"
5/24/18,"2,989"
5/25/18,"2,471"
5/26/18,"1,731"
5/27/18,"1,894"
5/28/18,"2,225"
5/29/18,"2,942"
5/30/18,"2,774"
5/31/18,"2,702"
6/1/18,"3,022"
6/2/18,"1,942"
6/3/18,"2,046"
6/4/18,"3,256"
6/5/18,"3,108"
6/6/18,"3,218"
6/7/18,"3,151"
6/8/18,"2,682"
6/9/18,"1,868"
6/10/18,"1,947"
6/11/18,"2,984"
6/12/18,"2,966"
6/13/18,"2,639"
6/14/18,"2,384"
6/15/18,"2,022"
6/16/18,"1,432"
6/17/18,"1,513"
6/18/18,"2,756"
6/19/18,"2,758"
6/20/18,"2,506"
6/21/18,"2,504"
6/22/18,"2,201"
6/23/18,"1,578"
6/24/18,"1,658"
6/25/18,"3,001"
6/26/18,"2,489"
6/27/18,"2,538"
6/28/18,"2,331"
6/29/18,"2,097"
6/30/18,"1,470"
7/1/18,"1,545"
7/2/18,"2,633"
7/3/18,"2,420"
7/4/18,"1,908"
7/5/18,"2,081"
7/6/18,"2,026"
7/7/18,"1,407"
7/8/18,"1,624"
7/9/18,"2,631"
7/10/18,"2,561"
7/11/18,"2,502"
7/12/18,"2,425"
7/13/18,"2,223"
7/14/18,"1,485"
7/15/18,"1,709"
7/16/18,"2,817"
7/17/18,"2,727"
7/18/18,"2,581"
7/19/18,"2,406"
7/20/18,"2,082"
7/21/18,"1,469"
7/22/18,"1,592"
7/23/18,"2,545"
,"538,199"
