# ----------------------------------------
# 1 Master View
# Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Registrations (Goal 3 Completions)
1/1/18,33
1/2/18,112
1/3/18,75
1/4/18,54
1/5/18,58
1/6/18,28
1/7/18,48
1/8/18,87
1/9/18,74
1/10/18,71
1/11/18,58
1/12/18,63
1/13/18,47
1/14/18,41
1/15/18,68
1/16/18,85
1/17/18,79
1/18/18,63
1/19/18,60
1/20/18,43
1/21/18,49
1/22/18,74
1/23/18,64
1/24/18,80
1/25/18,88
1/26/18,59
1/27/18,44
1/28/18,62
1/29/18,56
1/30/18,66
1/31/18,77
2/1/18,80
2/2/18,52
2/3/18,47
2/4/18,47
2/5/18,68
2/6/18,70
2/7/18,75
2/8/18,85
2/9/18,72
2/10/18,48
2/11/18,52
2/12/18,75
2/13/18,73
2/14/18,52
2/15/18,57
2/16/18,55
2/17/18,48
2/18/18,57
2/19/18,56
2/20/18,80
2/21/18,74
2/22/18,70
2/23/18,60
2/24/18,47
2/25/18,46
2/26/18,81
2/27/18,80
2/28/18,69
3/1/18,73
3/2/18,58
3/3/18,57
3/4/18,59
3/5/18,74
3/6/18,107
3/7/18,81
3/8/18,74
3/9/18,55
3/10/18,60
3/11/18,58
3/12/18,91
3/13/18,86
3/14/18,84
3/15/18,105
3/16/18,79
3/17/18,53
3/18/18,50
3/19/18,122
3/20/18,87
3/21/18,105
3/22/18,114
3/23/18,68
3/24/18,54
3/25/18,50
3/26/18,99
3/27/18,189
3/28/18,144
3/29/18,93
3/30/18,78
3/31/18,42
4/1/18,35
4/2/18,105
4/3/18,98
4/4/18,89
4/5/18,74
4/6/18,83
4/7/18,59
4/8/18,56
4/9/18,82
4/10/18,88
4/11/18,74
4/12/18,74
4/13/18,63
4/14/18,33
4/15/18,64
4/16/18,66
4/17/18,92
4/18/18,73
4/19/18,72
4/20/18,63
4/21/18,65
4/22/18,62
4/23/18,87
4/24/18,76
4/25/18,82
4/26/18,92
4/27/18,53
4/28/18,46
4/29/18,50
4/30/18,83
5/1/18,84
5/2/18,88
5/3/18,82
5/4/18,82
5/5/18,39
5/6/18,54
5/7/18,90
5/8/18,87
5/9/18,107
5/10/18,124
5/11/18,77
5/12/18,46
5/13/18,61
5/14/18,75
5/15/18,110
5/16/18,73
5/17/18,83
5/18/18,83
5/19/18,56
5/20/18,52
5/21/18,120
5/22/18,129
5/23/18,124
5/24/18,102
5/25/18,88
5/26/18,44
5/27/18,62
5/28/18,66
5/29/18,114
5/30/18,94
5/31/18,95
6/1/18,110
6/2/18,80
6/3/18,86
6/4/18,125
6/5/18,127
6/6/18,108
6/7/18,121
6/8/18,106
6/9/18,53
6/10/18,64
6/11/18,106
6/12/18,115
6/13/18,88
6/14/18,77
6/15/18,82
6/16/18,51
6/17/18,59
6/18/18,115
6/19/18,115
6/20/18,84
6/21/18,89
6/22/18,77
6/23/18,69
6/24/18,57
6/25/18,106
6/26/18,82
6/27/18,90
6/28/18,91
6/29/18,85
6/30/18,56
7/1/18,63
7/2/18,104
7/3/18,87
7/4/18,59
7/5/18,65
7/6/18,83
7/7/18,50
7/8/18,48
7/9/18,107
7/10/18,101
7/11/18,92
7/12/18,87
7/13/18,97
7/14/18,57
7/15/18,69
7/16/18,116
7/17/18,130
7/18/18,109
7/19/18,100
7/20/18,65
7/21/18,48
7/22/18,44
7/23/18,85
,"15,561"
