# ----------------------------------------
# 1 Master View
# Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Smart Goals (Goal 5 Completions)
1/1/18,126
1/2/18,279
1/3/18,214
1/4/18,191
1/5/18,219
1/6/18,96
1/7/18,108
1/8/18,228
1/9/18,222
1/10/18,234
1/11/18,206
1/12/18,183
1/13/18,122
1/14/18,112
1/15/18,162
1/16/18,138
1/17/18,147
1/18/18,129
1/19/18,124
1/20/18,133
1/21/18,161
1/22/18,239
1/23/18,202
1/24/18,246
1/25/18,304
1/26/18,196
1/27/18,105
1/28/18,128
1/29/18,202
1/30/18,215
1/31/18,216
2/1/18,196
2/2/18,138
2/3/18,69
2/4/18,78
2/5/18,138
2/6/18,126
2/7/18,136
2/8/18,146
2/9/18,148
2/10/18,85
2/11/18,98
2/12/18,172
2/13/18,166
2/14/18,140
2/15/18,132
2/16/18,122
2/17/18,84
2/18/18,108
2/19/18,103
2/20/18,155
2/21/18,155
2/22/18,188
2/23/18,121
2/24/18,59
2/25/18,81
2/26/18,212
2/27/18,228
2/28/18,224
3/1/18,215
3/2/18,169
3/3/18,144
3/4/18,157
3/5/18,233
3/6/18,251
3/7/18,218
3/8/18,213
3/9/18,177
3/10/18,125
3/11/18,150
3/12/18,271
3/13/18,228
3/14/18,289
3/15/18,316
3/16/18,236
3/17/18,174
3/18/18,146
3/19/18,319
3/20/18,263
3/21/18,334
3/22/18,322
3/23/18,220
3/24/18,176
3/25/18,134
3/26/18,299
3/27/18,566
3/28/18,430
3/29/18,181
3/30/18,150
3/31/18,70
4/1/18,94
4/2/18,180
4/3/18,147
4/4/18,181
4/5/18,164
4/6/18,129
4/7/18,67
4/8/18,71
4/9/18,137
4/10/18,125
4/11/18,141
4/12/18,124
4/13/18,108
4/14/18,49
4/15/18,77
4/16/18,115
4/17/18,124
4/18/18,123
4/19/18,105
4/20/18,116
4/21/18,85
4/22/18,111
4/23/18,146
4/24/18,121
4/25/18,103
4/26/18,139
4/27/18,95
4/28/18,64
4/29/18,84
4/30/18,139
5/1/18,153
5/2/18,175
5/3/18,152
5/4/18,173
5/5/18,108
5/6/18,118
5/7/18,215
5/8/18,189
5/9/18,218
5/10/18,222
5/11/18,135
5/12/18,85
5/13/18,89
5/14/18,192
5/15/18,180
5/16/18,174
5/17/18,209
5/18/18,209
5/19/18,113
5/20/18,100
5/21/18,221
5/22/18,328
5/23/18,246
5/24/18,230
5/25/18,164
5/26/18,96
5/27/18,114
5/28/18,153
5/29/18,229
5/30/18,232
5/31/18,231
6/1/18,279
6/2/18,121
6/3/18,165
6/4/18,250
6/5/18,254
6/6/18,270
6/7/18,260
6/8/18,178
6/9/18,105
6/10/18,102
6/11/18,197
6/12/18,228
6/13/18,159
6/14/18,145
6/15/18,136
6/16/18,64
6/17/18,96
6/18/18,190
6/19/18,182
6/20/18,152
6/21/18,167
6/22/18,159
6/23/18,82
6/24/18,90
6/25/18,180
6/26/18,128
6/27/18,184
6/28/18,150
6/29/18,173
6/30/18,88
7/1/18,90
7/2/18,213
7/3/18,155
7/4/18,96
7/5/18,109
7/6/18,154
7/7/18,78
7/8/18,99
7/9/18,217
7/10/18,211
7/11/18,196
7/12/18,173
7/13/18,217
7/14/18,94
7/15/18,138
7/16/18,252
7/17/18,206
7/18/18,213
7/19/18,202
7/20/18,148
7/21/18,81
7/22/18,106
7/23/18,208
,"34,078"
