# ----------------------------------------
# 1 Master View
# Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Goal Completions
1/1/18,379
1/2/18,845
1/3/18,668
1/4/18,605
1/5/18,707
1/6/18,312
1/7/18,394
1/8/18,732
1/9/18,708
1/10/18,726
1/11/18,629
1/12/18,598
1/13/18,385
1/14/18,388
1/15/18,561
1/16/18,621
1/17/18,620
1/18/18,531
1/19/18,536
1/20/18,420
1/21/18,513
1/22/18,755
1/23/18,629
1/24/18,770
1/25/18,907
1/26/18,607
1/27/18,413
1/28/18,458
1/29/18,690
1/30/18,699
1/31/18,702
2/1/18,685
2/2/18,590
2/3/18,346
2/4/18,385
2/5/18,568
2/6/18,569
2/7/18,577
2/8/18,690
2/9/18,584
2/10/18,355
2/11/18,413
2/12/18,672
2/13/18,634
2/14/18,528
2/15/18,523
2/16/18,488
2/17/18,336
2/18/18,413
2/19/18,447
2/20/18,629
2/21/18,601
2/22/18,700
2/23/18,538
2/24/18,318
2/25/18,396
2/26/18,714
2/27/18,700
2/28/18,658
3/1/18,636
3/2/18,576
3/3/18,437
3/4/18,470
3/5/18,714
3/6/18,791
3/7/18,716
3/8/18,679
3/9/18,571
3/10/18,417
3/11/18,451
3/12/18,816
3/13/18,721
3/14/18,823
3/15/18,926
3/16/18,700
3/17/18,494
3/18/18,429
3/19/18,914
3/20/18,744
3/21/18,976
3/22/18,932
3/23/18,651
3/24/18,508
3/25/18,430
3/26/18,922
3/27/18,"1,657"
3/28/18,"1,310"
3/29/18,796
3/30/18,640
3/31/18,345
4/1/18,405
4/2/18,802
4/3/18,696
4/4/18,769
4/5/18,708
4/6/18,636
4/7/18,411
4/8/18,421
4/9/18,736
4/10/18,672
4/11/18,708
4/12/18,620
4/13/18,551
4/14/18,305
4/15/18,420
4/16/18,560
4/17/18,602
4/18/18,614
4/19/18,568
4/20/18,579
4/21/18,425
4/22/18,484
4/23/18,732
4/24/18,640
4/25/18,595
4/26/18,669
4/27/18,497
4/28/18,346
4/29/18,432
4/30/18,719
5/1/18,667
5/2/18,668
5/3/18,661
5/4/18,644
5/5/18,417
5/6/18,481
5/7/18,833
5/8/18,778
5/9/18,887
5/10/18,943
5/11/18,625
5/12/18,386
5/13/18,414
5/14/18,749
5/15/18,707
5/16/18,727
5/17/18,"1,054"
5/18/18,"1,191"
5/19/18,610
5/20/18,543
5/21/18,"1,160"
5/22/18,"1,829"
5/23/18,"1,344"
5/24/18,988
5/25/18,813
5/26/18,421
5/27/18,515
5/28/18,607
5/29/18,"1,025"
5/30/18,970
5/31/18,944
6/1/18,"1,823"
6/2/18,788
6/3/18,850
6/4/18,"1,173"
6/5/18,"1,096"
6/6/18,"1,239"
6/7/18,"1,107"
6/8/18,755
6/9/18,439
6/10/18,444
6/11/18,784
6/12/18,917
6/13/18,671
6/14/18,613
6/15/18,545
6/16/18,345
6/17/18,383
6/18/18,756
6/19/18,703
6/20/18,646
6/21/18,652
6/22/18,600
6/23/18,404
6/24/18,393
6/25/18,692
6/26/18,552
6/27/18,686
6/28/18,624
6/29/18,639
6/30/18,358
7/1/18,359
7/2/18,783
7/3/18,604
7/4/18,404
7/5/18,448
7/6/18,591
7/7/18,313
7/8/18,367
7/9/18,783
7/10/18,737
7/11/18,757
7/12/18,636
7/13/18,761
7/14/18,365
7/15/18,483
7/16/18,815
7/17/18,809
7/18/18,778
7/19/18,719
7/20/18,595
7/21/18,345
7/22/18,421
7/23/18,745
,"132,975"
