# ----------------------------------------
# 1 Master View
# Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Purchase Completed (Goal 1 Completions)
1/1/18,47
1/2/18,115
1/3/18,93
1/4/18,87
1/5/18,86
1/6/18,36
1/7/18,49
1/8/18,106
1/9/18,84
1/10/18,76
1/11/18,62
1/12/18,81
1/13/18,39
1/14/18,43
1/15/18,62
1/16/18,89
1/17/18,76
1/18/18,56
1/19/18,68
1/20/18,43
1/21/18,74
1/22/18,87
1/23/18,68
1/24/18,86
1/25/18,91
1/26/18,67
1/27/18,50
1/28/18,51
1/29/18,97
1/30/18,94
1/31/18,78
2/1/18,88
2/2/18,74
2/3/18,42
2/4/18,52
2/5/18,82
2/6/18,62
2/7/18,62
2/8/18,89
2/9/18,69
2/10/18,31
2/11/18,44
2/12/18,83
2/13/18,77
2/14/18,57
2/15/18,53
2/16/18,64
2/17/18,36
2/18/18,34
2/19/18,59
2/20/18,76
2/21/18,77
2/22/18,81
2/23/18,71
2/24/18,30
2/25/18,52
2/26/18,71
2/27/18,69
2/28/18,64
3/1/18,58
3/2/18,69
3/3/18,33
3/4/18,48
3/5/18,81
3/6/18,74
3/7/18,73
3/8/18,60
3/9/18,61
3/10/18,33
3/11/18,37
3/12/18,95
3/13/18,90
3/14/18,100
3/15/18,109
3/16/18,86
3/17/18,59
3/18/18,41
3/19/18,101
3/20/18,76
3/21/18,111
3/22/18,110
3/23/18,71
3/24/18,54
3/25/18,50
3/26/18,146
3/27/18,305
3/28/18,230
3/29/18,104
3/30/18,99
3/31/18,49
4/1/18,70
4/2/18,132
4/3/18,101
4/4/18,109
4/5/18,109
4/6/18,106
4/7/18,47
4/8/18,62
4/9/18,125
4/10/18,106
4/11/18,103
4/12/18,78
4/13/18,82
4/14/18,38
4/15/18,59
4/16/18,89
4/17/18,79
4/18/18,79
4/19/18,69
4/20/18,88
4/21/18,50
4/22/18,65
4/23/18,116
4/24/18,93
4/25/18,87
4/26/18,77
4/27/18,77
4/28/18,42
4/29/18,63
4/30/18,114
5/1/18,83
5/2/18,88
5/3/18,78
5/4/18,77
5/5/18,53
5/6/18,67
5/7/18,134
5/8/18,95
5/9/18,102
5/10/18,112
5/11/18,76
5/12/18,28
5/13/18,42
5/14/18,103
5/15/18,72
5/16/18,87
5/17/18,160
5/18/18,219
5/19/18,91
5/20/18,74
5/21/18,169
5/22/18,339
5/23/18,219
5/24/18,114
5/25/18,93
5/26/18,45
5/27/18,48
5/28/18,61
5/29/18,123
5/30/18,101
5/31/18,93
6/1/18,406
6/2/18,139
6/3/18,125
6/4/18,161
6/5/18,130
6/6/18,186
6/7/18,135
6/8/18,60
6/9/18,36
6/10/18,27
6/11/18,68
6/12/18,89
6/13/18,48
6/14/18,35
6/15/18,30
6/16/18,18
6/17/18,14
6/18/18,40
6/19/18,36
6/20/18,44
6/21/18,46
6/22/18,25
6/23/18,18
6/24/18,21
6/25/18,34
6/26/18,34
6/27/18,32
6/28/18,40
6/29/18,40
6/30/18,13
7/1/18,6
7/2/18,51
7/3/18,34
7/4/18,17
7/5/18,18
7/6/18,35
7/7/18,16
7/8/18,14
7/9/18,47
7/10/18,36
7/11/18,50
7/12/18,31
7/13/18,53
7/14/18,11
7/15/18,18
7/16/18,39
7/17/18,39
7/18/18,47
7/19/18,40
7/20/18,47
7/21/18,18
7/22/18,22
7/23/18,46
,"15,329"
