# ----------------------------------------
# 1 Master View
# Overview
# 20180101-20180723
# ----------------------------------------

Day Index,Engaged Users (Goal 2 Completions)
1/1/18,163
1/2/18,313
1/3/18,263
1/4/18,251
1/5/18,304
1/6/18,146
1/7/18,175
1/8/18,286
1/9/18,306
1/10/18,313
1/11/18,272
1/12/18,245
1/13/18,167
1/14/18,180
1/15/18,244
1/16/18,286
1/17/18,292
1/18/18,263
1/19/18,260
1/20/18,189
1/21/18,208
1/22/18,316
1/23/18,267
1/24/18,323
1/25/18,377
1/26/18,256
1/27/18,198
1/28/18,202
1/29/18,295
1/30/18,282
1/31/18,294
2/1/18,286
2/2/18,289
2/3/18,173
2/4/18,190
2/5/18,256
2/6/18,276
2/7/18,280
2/8/18,329
2/9/18,273
2/10/18,182
2/11/18,204
2/12/18,313
2/13/18,290
2/14/18,252
2/15/18,264
2/16/18,210
2/17/18,154
2/18/18,198
2/19/18,210
2/20/18,279
2/21/18,261
2/22/18,322
2/23/18,251
2/24/18,174
2/25/18,201
2/26/18,318
2/27/18,294
2/28/18,272
3/1/18,257
3/2/18,257
3/3/18,188
3/4/18,192
3/5/18,296
3/6/18,320
3/7/18,307
3/8/18,298
3/9/18,250
3/10/18,183
3/11/18,186
3/12/18,322
3/13/18,285
3/14/18,312
3/15/18,366
3/16/18,278
3/17/18,194
3/18/18,184
3/19/18,336
3/20/18,291
3/21/18,394
3/22/18,358
3/23/18,265
3/24/18,210
3/25/18,185
3/26/18,349
3/27/18,539
3/28/18,456
3/29/18,373
3/30/18,287
3/31/18,174
4/1/18,189
4/2/18,358
4/3/18,311
4/4/18,359
4/5/18,323
4/6/18,290
4/7/18,216
4/8/18,221
4/9/18,354
4/10/18,327
4/11/18,358
4/12/18,316
4/13/18,272
4/14/18,175
4/15/18,207
4/16/18,270
4/17/18,284
4/18/18,309
4/19/18,294
4/20/18,292
4/21/18,211
4/22/18,234
4/23/18,348
4/24/18,324
4/25/18,290
4/26/18,328
4/27/18,246
4/28/18,185
4/29/18,213
4/30/18,339
5/1/18,313
5/2/18,289
5/3/18,319
5/4/18,293
5/5/18,204
5/6/18,230
5/7/18,354
5/8/18,361
5/9/18,426
5/10/18,444
5/11/18,294
5/12/18,213
5/13/18,210
5/14/18,343
5/15/18,316
5/16/18,315
5/17/18,385
5/18/18,403
5/19/18,233
5/20/18,213
5/21/18,407
5/22/18,589
5/23/18,470
5/24/18,370
5/25/18,334
5/26/18,175
5/27/18,218
5/28/18,234
5/29/18,389
5/30/18,381
5/31/18,381
6/1/18,545
6/2/18,269
6/3/18,311
6/4/18,418
6/5/18,415
6/6/18,430
6/7/18,411
6/8/18,314
6/9/18,199
6/10/18,211
6/11/18,312
6/12/18,361
6/13/18,287
6/14/18,277
6/15/18,231
6/16/18,178
6/17/18,183
6/18/18,322
6/19/18,292
6/20/18,288
6/21/18,262
6/22/18,271
6/23/18,188
6/24/18,184
6/25/18,303
6/26/18,233
6/27/18,299
6/28/18,259
6/29/18,274
6/30/18,162
7/1/18,169
7/2/18,320
7/3/18,258
7/4/18,183
7/5/18,217
7/6/18,250
7/7/18,138
7/8/18,166
7/9/18,329
7/10/18,315
7/11/18,325
7/12/18,260
7/13/18,300
7/14/18,171
7/15/18,211
7/16/18,336
7/17/18,341
7/18/18,316
7/19/18,298
7/20/18,254
7/21/18,159
7/22/18,202
7/23/18,315
,"56,900"
